Product,Price per Unit,Units Sold,Total Sales,Timestamp
Bread,26.08,76,1981.94,2024-11-27 10:33:28
Rice,44.09,1,44.09,2024-11-27 10:33:28
Milk,16.2,12,194.36,2024-11-27 10:33:28
Fruits,17.69,60,1061.38,2024-11-27 10:33:28
Rice,25.37,32,811.8,2024-11-27 10:33:28
Rice,35.24,2,70.47,2024-11-27 10:33:28
Eggs,8.16,79,644.85,2024-11-27 10:33:28
Fruits,38.01,86,3269.0,2024-11-27 10:33:28
Milk,10.9,8,87.22,2024-11-27 10:33:28
Eggs,11.68,5,58.39,2024-11-27 10:33:28
Milk,20.27,86,1743.17,2024-11-27 10:33:28
Bread,25.36,58,1471.03,2024-11-27 10:33:28
Eggs,11.19,11,123.05,2024-11-27 10:33:28
Bread,29.62,48,1421.69,2024-11-27 10:33:28
Bread,15.21,81,1231.9,2024-11-27 10:33:28
Vegetables,15.39,38,584.96,2024-11-27 10:33:28
Fruits,21.49,1,21.49,2024-11-27 10:33:28
Vegetables,9.31,61,567.75,2024-11-27 10:33:28
Eggs,10.87,54,587.08,2024-11-27 10:33:28
Vegetables,30.19,77,2324.74,2024-11-27 10:33:28
Eggs,7.61,65,494.66,2024-11-27 10:33:28
Bread,29.59,23,680.65,2024-11-27 10:33:28
Fruits,40.52,81,3281.85,2024-11-27 10:33:28
Vegetables,16.09,78,1254.78,2024-11-27 10:33:28
Vegetables,30.15,12,361.84,2024-11-27 10:33:28
Fruits,21.27,13,276.53,2024-11-27 10:33:28
Fruits,26.6,7,186.18,2024-11-27 10:33:28
Milk,17.86,95,1697.16,2024-11-27 10:33:28
Vegetables,8.77,79,692.75,2024-11-27 10:33:28
Vegetables,39.56,17,672.5,2024-11-27 10:33:28
Eggs,8.7,49,426.26,2024-11-27 10:33:28
Fruits,49.15,38,1867.87,2024-11-27 10:33:28
Fruits,11.99,97,1162.75,2024-11-27 10:33:28
Bread,21.48,14,300.69,2024-11-27 10:33:28
Milk,17.21,95,1635.34,2024-11-27 10:33:28
Fruits,28.26,17,480.39,2024-11-27 10:33:28
Eggs,10.97,34,373.08,2024-11-27 10:33:28
Rice,39.93,29,1157.84,2024-11-27 10:33:28
Eggs,9.57,80,765.25,2024-11-27 10:33:28
Fruits,25.79,83,2140.56,2024-11-27 10:33:28
Vegetables,7.37,16,117.98,2024-11-27 10:33:28
Rice,20.9,33,689.71,2024-11-27 10:33:28
Vegetables,29.23,66,1929.43,2024-11-27 10:33:28
Milk,20.95,81,1697.11,2024-11-27 10:33:28
Rice,47.86,35,1674.93,2024-11-27 10:33:28
Vegetables,38.95,79,3076.76,2024-11-27 10:33:28
Rice,43.03,96,4130.78,2024-11-27 10:33:28
Rice,36.16,8,289.3,2024-11-27 10:33:28
Fruits,30.37,78,2368.86,2024-11-27 10:33:28
Fruits,45.9,3,137.69,2024-11-27 10:33:28
Rice,22.94,83,1904.21,2024-11-27 10:33:28
Bread,23.99,64,1535.27,2024-11-27 10:33:28
Eggs,11.5,23,264.46,2024-11-27 10:33:28
Rice,20.95,76,1592.55,2024-11-27 10:33:28
Milk,22.54,64,1442.49,2024-11-27 10:33:28
Fruits,26.94,88,2370.75,2024-11-27 10:33:28
Milk,13.79,21,289.54,2024-11-27 10:33:28
Bread,17.61,76,1338.73,2024-11-27 10:33:28
Eggs,10.13,43,435.63,2024-11-27 10:33:28
Vegetables,8.46,37,313.17,2024-11-27 10:33:28
Bread,20.23,25,505.71,2024-11-27 10:33:28
Eggs,10.7,70,748.85,2024-11-27 10:33:28
Milk,22.32,77,1718.31,2024-11-27 10:33:28
Fruits,14.55,9,130.99,2024-11-27 10:33:28
Bread,17.27,74,1278.1,2024-11-27 10:33:28
Milk,18.87,26,490.65,2024-11-27 10:33:28
Fruits,40.3,55,2216.54,2024-11-27 10:33:28
Fruits,41.64,53,2207.05,2024-11-27 10:33:28
Milk,23.87,86,2052.6,2024-11-27 10:33:28
Vegetables,32.35,17,550.02,2024-11-27 10:33:28
Eggs,6.07,72,437.17,2024-11-27 10:33:28
Rice,38.17,61,2328.53,2024-11-27 10:33:28
Bread,19.58,73,1429.03,2024-11-27 10:33:28
Vegetables,29.67,59,1750.4,2024-11-27 10:33:28
Bread,23.61,81,1912.64,2024-11-27 10:33:28
Fruits,18.14,26,471.71,2024-11-27 10:33:28
Eggs,10.85,49,531.71,2024-11-27 10:33:28
Fruits,18.29,47,859.42,2024-11-27 10:33:28
Eggs,8.69,71,616.68,2024-11-27 10:33:28
Milk,12.39,69,854.82,2024-11-27 10:33:28
Vegetables,36.21,2,72.43,2024-11-27 10:33:28
Vegetables,32.32,12,387.83,2024-11-27 10:33:28
Eggs,8.89,81,719.87,2024-11-27 10:33:28
Fruits,36.38,97,3528.46,2024-11-27 10:33:28
Eggs,6.4,32,204.77,2024-11-27 10:33:28
Eggs,10.49,48,503.42,2024-11-27 10:33:28
Fruits,38.66,1,38.66,2024-11-27 10:33:28
Eggs,6.16,6,36.94,2024-11-27 10:33:28
Vegetables,25.8,69,1780.11,2024-11-27 10:33:28
Rice,32.7,64,2092.71,2024-11-27 10:33:28
Eggs,6.64,57,378.42,2024-11-27 10:33:28
Vegetables,21.59,58,1252.06,2024-11-27 10:33:28
Milk,19.26,34,655.0,2024-11-27 10:33:28
Rice,30.27,24,726.41,2024-11-27 10:33:28
Milk,22.25,28,622.92,2024-11-27 10:33:28
Fruits,25.5,57,1453.75,2024-11-27 10:33:28
Milk,12.17,66,803.32,2024-11-27 10:33:28
Eggs,10.0,60,599.95,2024-11-27 10:33:28
Rice,35.44,46,1630.25,2024-11-27 10:33:28
Vegetables,26.43,99,2616.91,2024-11-27 10:33:28
Bread,18.27,41,748.94,2024-11-27 10:33:28
Eggs,5.49,66,362.4,2024-11-27 10:33:28
Eggs,6.84,50,342.03,2024-11-27 10:33:28
Eggs,8.51,35,297.7,2024-11-27 10:33:28
Vegetables,21.14,58,1226.39,2024-11-27 10:33:28
Fruits,14.47,73,1056.4,2024-11-27 10:33:28
Vegetables,36.37,13,472.82,2024-11-27 10:33:28
Rice,36.8,19,699.24,2024-11-27 10:33:28
Vegetables,32.77,52,1704.13,2024-11-27 10:33:28
Rice,47.63,70,3333.82,2024-11-27 10:33:28
Fruits,13.46,96,1292.48,2024-11-27 10:33:28
Eggs,8.76,7,61.3,2024-11-27 10:33:28
Rice,25.48,54,1375.68,2024-11-27 10:33:28
Vegetables,29.9,87,2601.14,2024-11-27 10:33:28
Milk,23.92,1,23.92,2024-11-27 10:33:28
Eggs,10.69,98,1047.19,2024-11-27 10:33:28
Bread,24.45,9,220.06,2024-11-27 10:33:28
Bread,21.02,92,1934.27,2024-11-27 10:33:28
Fruits,26.57,79,2098.85,2024-11-27 10:33:28
Rice,32.47,33,1071.59,2024-11-27 10:33:28
Rice,47.74,30,1432.33,2024-11-27 10:33:28
Vegetables,15.99,63,1007.63,2024-11-27 10:33:28
Bread,26.61,3,79.83,2024-11-27 10:33:28
Milk,18.19,81,1473.23,2024-11-27 10:33:28
Fruits,22.65,93,2106.05,2024-11-27 10:33:28
Vegetables,10.8,18,194.45,2024-11-27 10:33:28
Rice,22.1,55,1215.47,2024-11-27 10:33:28
Bread,29.95,19,569.14,2024-11-27 10:33:28
Eggs,10.7,54,577.78,2024-11-27 10:33:28
Vegetables,31.43,41,1288.54,2024-11-27 10:33:28
Rice,41.35,47,1943.37,2024-11-27 10:33:28
Fruits,17.76,90,1598.26,2024-11-27 10:33:28
Rice,47.65,32,1524.67,2024-11-27 10:33:28
Bread,27.76,13,360.87,2024-11-27 10:33:28
Fruits,44.62,94,4194.09,2024-11-27 10:33:28
Vegetables,15.38,50,768.85,2024-11-27 10:33:28
Vegetables,7.11,93,660.84,2024-11-27 10:33:28
Fruits,24.42,56,1367.45,2024-11-27 10:33:28
Eggs,6.26,1,6.26,2024-11-27 10:33:28
Bread,27.5,58,1594.77,2024-11-27 10:33:28
Bread,23.07,98,2261.25,2024-11-27 10:33:28
Fruits,31.13,53,1649.69,2024-11-27 10:33:28
Fruits,25.89,96,2485.78,2024-11-27 10:33:28
Fruits,16.56,1,16.56,2024-11-27 10:33:28
Rice,41.09,55,2259.72,2024-11-27 10:33:28
Eggs,6.8,8,54.39,2024-11-27 10:33:28
Bread,29.77,51,1518.44,2024-11-27 10:33:28
Fruits,45.94,82,3767.24,2024-11-27 10:33:28
Vegetables,6.93,92,637.44,2024-11-27 10:33:28
Milk,21.92,28,613.82,2024-11-27 10:33:28
Eggs,6.42,27,173.45,2024-11-27 10:33:28
Eggs,10.15,10,101.48,2024-11-27 10:33:28
Fruits,24.26,3,72.79,2024-11-27 10:33:28
Eggs,10.0,2,20.0,2024-11-27 10:33:28
Bread,23.09,66,1523.91,2024-11-27 10:33:28
Rice,28.49,29,826.07,2024-11-27 10:33:28
Bread,15.91,75,1193.42,2024-11-27 10:33:28
Fruits,24.7,64,1581.11,2024-11-27 10:33:28
Vegetables,31.72,91,2886.32,2024-11-27 10:33:28
Fruits,41.16,37,1523.01,2024-11-27 10:33:28
Vegetables,38.25,42,1606.5,2024-11-27 10:33:28
Fruits,31.36,65,2038.7,2024-11-27 10:33:28
Rice,46.11,35,1613.91,2024-11-27 10:33:28
Vegetables,25.28,95,2401.45,2024-11-27 10:33:28
Vegetables,23.49,82,1926.54,2024-11-27 10:33:28
Milk,10.04,84,843.28,2024-11-27 10:33:28
Milk,20.21,17,343.64,2024-11-27 10:33:28
Vegetables,29.79,38,1132.03,2024-11-27 10:33:28
Bread,24.93,91,2268.4,2024-11-27 10:33:28
Rice,28.73,66,1896.31,2024-11-27 10:33:28
Bread,20.01,25,500.34,2024-11-27 10:33:28
Fruits,47.77,23,1098.63,2024-11-27 10:33:28
Bread,17.55,45,789.94,2024-11-27 10:33:28
Eggs,6.95,61,423.78,2024-11-27 10:33:28
Fruits,37.57,58,2179.12,2024-11-27 10:33:28
Milk,21.59,59,1273.8,2024-11-27 10:33:28
Milk,22.75,18,409.53,2024-11-27 10:33:28
Eggs,7.56,50,378.15,2024-11-27 10:33:28
Rice,34.06,82,2792.57,2024-11-27 10:33:28
Rice,24.54,48,1177.96,2024-11-27 10:33:28
Eggs,5.97,31,185.18,2024-11-27 10:33:28
Rice,27.94,82,2291.43,2024-11-27 10:33:28
Eggs,11.73,49,574.67,2024-11-27 10:33:28
Rice,38.34,36,1380.17,2024-11-27 10:33:28
Fruits,44.67,75,3349.98,2024-11-27 10:33:28
Vegetables,38.02,89,3383.76,2024-11-27 10:33:28
Fruits,28.71,16,459.34,2024-11-27 10:33:28
Bread,17.12,94,1609.38,2024-11-27 10:33:28
Bread,19.23,14,269.23,2024-11-27 10:33:28
Milk,12.29,71,872.3,2024-11-27 10:33:28
Fruits,42.72,4,170.9,2024-11-27 10:33:28
Milk,10.86,40,434.55,2024-11-27 10:33:28
Rice,39.01,16,624.22,2024-11-27 10:33:28
Eggs,7.93,12,95.21,2024-11-27 10:33:28
Bread,18.03,44,793.41,2024-11-27 10:33:28
Milk,20.61,49,1009.94,2024-11-27 10:33:28
Fruits,35.04,66,2312.34,2024-11-27 10:33:28
Eggs,9.06,19,172.08,2024-11-27 10:33:28
Fruits,17.71,48,849.87,2024-11-27 10:33:28
Fruits,21.82,11,240.02,2024-11-27 10:33:28
Eggs,7.79,7,54.53,2024-11-27 10:33:28
Milk,12.57,32,402.11,2024-11-27 10:33:28
Vegetables,17.62,78,1374.31,2024-11-27 10:33:28
Fruits,10.16,26,264.09,2024-11-27 10:33:28
Bread,20.9,6,125.41,2024-11-27 10:33:28
Eggs,10.99,19,208.87,2024-11-27 10:33:28
Eggs,10.88,33,359.01,2024-11-27 10:33:28
Rice,21.82,31,676.42,2024-11-27 10:33:28
Fruits,37.57,20,751.46,2024-11-27 10:33:28
Vegetables,9.67,45,435.14,2024-11-27 10:33:28
Eggs,7.01,24,168.23,2024-11-27 10:33:28
Bread,26.97,63,1699.2,2024-11-27 10:33:28
Fruits,13.69,77,1054.09,2024-11-27 10:33:28
Rice,29.77,52,1548.27,2024-11-27 10:33:28
Bread,18.31,6,109.87,2024-11-27 10:33:28
Bread,25.09,82,2057.26,2024-11-27 10:33:28
Fruits,14.63,96,1404.36,2024-11-27 10:33:28
Rice,25.87,22,569.16,2024-11-27 10:33:28
Bread,15.59,84,1309.76,2024-11-27 10:33:28
Eggs,5.65,70,395.3,2024-11-27 10:33:28
Milk,15.05,27,406.23,2024-11-27 10:33:28
Rice,45.94,15,689.17,2024-11-27 10:33:28
Bread,24.74,84,2078.08,2024-11-27 10:33:28
Eggs,5.91,10,59.14,2024-11-27 10:33:28
Rice,40.93,47,1923.65,2024-11-27 10:33:28
Eggs,9.3,18,167.34,2024-11-27 10:33:28
Rice,39.0,36,1403.96,2024-11-27 10:33:28
Vegetables,6.7,93,623.53,2024-11-27 10:33:28
Milk,20.6,25,515.01,2024-11-27 10:33:28
Vegetables,7.73,1,7.73,2024-11-27 10:33:28
Fruits,12.04,14,168.5,2024-11-27 10:33:28
Milk,11.65,61,710.95,2024-11-27 10:33:28
Eggs,11.32,24,271.57,2024-11-27 10:33:28
Bread,25.47,65,1655.27,2024-11-27 10:33:28
Bread,20.77,98,2035.89,2024-11-27 10:33:28
Bread,18.22,51,928.97,2024-11-27 10:33:28
Rice,27.6,86,2373.85,2024-11-27 10:33:28
Rice,45.32,37,1677.02,2024-11-27 10:33:28
Eggs,7.61,40,304.49,2024-11-27 10:33:28
Milk,20.11,28,563.16,2024-11-27 10:33:28
Milk,22.71,51,1158.31,2024-11-27 10:33:28
Fruits,25.78,4,103.12,2024-11-27 10:33:28
Vegetables,20.21,68,1373.98,2024-11-27 10:33:28
Vegetables,24.34,29,705.85,2024-11-27 10:33:28
Bread,26.93,17,457.84,2024-11-27 10:33:28
Fruits,25.06,7,175.39,2024-11-27 10:33:28
Fruits,33.75,90,3037.1,2024-11-27 10:33:28
Milk,12.49,73,911.7,2024-11-27 10:33:28
Eggs,11.99,87,1043.13,2024-11-27 10:33:28
Vegetables,15.53,74,1148.86,2024-11-27 10:33:28
Bread,16.02,10,160.19,2024-11-27 10:33:28
Fruits,18.63,53,987.53,2024-11-27 10:33:28
Rice,45.75,76,3476.89,2024-11-27 10:33:28
Eggs,11.55,72,831.45,2024-11-27 10:33:28
Bread,25.14,99,2489.05,2024-11-27 10:33:28
Vegetables,35.35,5,176.76,2024-11-27 10:33:28
Rice,31.57,54,1704.6,2024-11-27 10:33:28
Milk,24.68,29,715.58,2024-11-27 10:33:28
Vegetables,23.35,100,2334.96,2024-11-27 10:33:28
Eggs,9.35,97,906.6,2024-11-27 10:33:28
Fruits,16.37,30,491.22,2024-11-27 10:33:28
Eggs,8.36,70,585.53,2024-11-27 10:33:28
Rice,38.02,7,266.16,2024-11-27 10:33:28
Eggs,9.52,16,152.38,2024-11-27 10:33:28
Bread,19.5,17,331.49,2024-11-27 10:33:28
Milk,24.24,85,2060.5,2024-11-27 10:33:28
Fruits,25.51,7,178.57,2024-11-27 10:33:28
Bread,18.69,88,1644.87,2024-11-27 10:33:28
Bread,16.4,49,803.65,2024-11-27 10:33:28
Rice,31.92,76,2425.69,2024-11-27 10:33:28
Eggs,6.64,14,92.98,2024-11-27 10:33:28
Vegetables,35.62,67,2386.72,2024-11-27 10:33:28
Bread,29.12,32,931.94,2024-11-27 10:33:28
Vegetables,20.05,48,962.62,2024-11-27 10:33:28
Fruits,21.81,74,1614.28,2024-11-27 10:33:28
Eggs,9.69,10,96.88,2024-11-27 10:33:28
Rice,37.18,29,1078.34,2024-11-27 10:33:28
Rice,27.37,81,2217.21,2024-11-27 10:33:28
Eggs,5.39,97,523.26,2024-11-27 10:33:28
Rice,30.35,36,1092.67,2024-11-27 10:33:28
Vegetables,36.04,96,3459.44,2024-11-27 10:33:28
Bread,21.4,59,1262.4,2024-11-27 10:33:28
Rice,27.61,6,165.67,2024-11-27 10:33:28
Rice,36.01,97,3493.06,2024-11-27 10:33:28
Eggs,11.46,41,469.95,2024-11-27 10:33:28
Bread,21.46,72,1545.17,2024-11-27 10:33:28
Milk,12.14,91,1104.37,2024-11-27 10:33:28
Fruits,13.39,26,348.15,2024-11-27 10:33:28
Milk,21.18,75,1588.32,2024-11-27 10:33:28
Fruits,23.59,48,1132.34,2024-11-27 10:33:28
Rice,37.0,4,147.98,2024-11-27 10:33:28
Vegetables,28.4,44,1249.66,2024-11-27 10:33:28
Vegetables,7.41,78,578.02,2024-11-27 10:33:28
Fruits,23.86,94,2242.74,2024-11-27 10:33:28
Eggs,6.8,59,400.96,2024-11-27 10:33:28
Rice,40.16,3,120.48,2024-11-27 10:33:28
Milk,16.33,20,326.6,2024-11-27 10:33:28
Vegetables,15.29,9,137.62,2024-11-27 10:33:28
Eggs,6.94,61,423.33,2024-11-27 10:33:28
Eggs,8.18,49,400.97,2024-11-27 10:33:28
Bread,15.6,99,1543.98,2024-11-27 10:33:28
Vegetables,9.16,99,907.0,2024-11-27 10:33:28
Rice,38.03,80,3042.09,2024-11-27 10:33:28
Bread,15.16,92,1394.68,2024-11-27 10:33:28
Vegetables,21.12,25,527.93,2024-11-27 10:33:28
Eggs,9.84,67,659.23,2024-11-27 10:33:28
Fruits,21.16,46,973.59,2024-11-27 10:33:28
Vegetables,18.56,68,1262.2,2024-11-27 10:33:28
Vegetables,22.02,73,1607.16,2024-11-27 10:33:28
Milk,12.39,4,49.56,2024-11-27 10:33:28
Vegetables,22.56,24,541.48,2024-11-27 10:33:28
Eggs,6.48,20,129.64,2024-11-27 10:33:28
Vegetables,18.28,2,36.57,2024-11-27 10:33:28
Bread,28.51,16,456.12,2024-11-27 10:33:28
Eggs,6.41,100,641.02,2024-11-27 10:33:28
Bread,20.44,31,633.66,2024-11-27 10:33:28
Fruits,47.39,5,236.96,2024-11-27 10:33:28
Bread,27.55,34,936.67,2024-11-27 10:33:28
Vegetables,22.93,97,2224.0,2024-11-27 10:33:28
Vegetables,32.11,55,1765.94,2024-11-27 10:33:28
Milk,15.98,5,79.9,2024-11-27 10:33:28
Rice,47.96,57,2733.67,2024-11-27 10:33:28
Rice,44.93,98,4403.43,2024-11-27 10:33:28
Fruits,49.62,70,3473.63,2024-11-27 10:33:28
Milk,22.36,33,737.88,2024-11-27 10:33:28
Rice,31.55,32,1009.74,2024-11-27 10:33:28
Milk,14.58,31,451.95,2024-11-27 10:33:28
Bread,16.45,87,1431.51,2024-11-27 10:33:28
Bread,23.46,56,1313.54,2024-11-27 10:33:28
Milk,19.94,24,478.61,2024-11-27 10:33:28
Bread,17.44,62,1081.58,2024-11-27 10:33:28
Fruits,20.18,15,302.67,2024-11-27 10:33:28
Rice,35.7,58,2070.68,2024-11-27 10:33:28
Vegetables,21.48,77,1654.3,2024-11-27 10:33:28
Eggs,11.83,82,970.08,2024-11-27 10:33:28
Fruits,39.35,39,1534.7,2024-11-27 10:33:28
Eggs,6.28,71,445.68,2024-11-27 10:33:28
Milk,23.46,66,1548.42,2024-11-27 10:33:28
Fruits,33.24,92,3057.67,2024-11-27 10:33:28
Rice,26.95,97,2614.06,2024-11-27 10:33:28
Bread,22.46,56,1257.94,2024-11-27 10:33:28
Eggs,11.45,78,893.42,2024-11-27 10:33:28
Milk,12.98,39,506.22,2024-11-27 10:33:28
Bread,17.03,93,1583.37,2024-11-27 10:33:28
Fruits,16.7,91,1519.68,2024-11-27 10:33:28
Eggs,7.0,60,419.91,2024-11-27 10:33:28
Fruits,12.45,1,12.45,2024-11-27 10:33:28
Vegetables,12.97,9,116.74,2024-11-27 10:33:28
Fruits,16.49,76,1253.23,2024-11-27 10:33:28
Rice,48.21,49,2362.49,2024-11-27 10:33:28
Vegetables,30.36,79,2398.24,2024-11-27 10:33:28
Vegetables,38.3,67,2566.28,2024-11-27 10:33:28
Milk,14.15,1,14.15,2024-11-27 10:33:28
Fruits,11.15,100,1115.25,2024-11-27 10:33:28
Eggs,10.89,68,740.2,2024-11-27 10:33:28
Fruits,35.21,38,1337.9,2024-11-27 10:33:28
Milk,12.62,29,365.99,2024-11-27 10:33:28
Rice,44.17,23,1015.81,2024-11-27 10:33:28
Eggs,7.54,15,113.09,2024-11-27 10:33:28
Milk,14.84,7,103.91,2024-11-27 10:33:28
Rice,40.5,41,1660.67,2024-11-27 10:33:28
Rice,40.68,16,650.84,2024-11-27 10:33:28
Rice,40.65,84,3414.41,2024-11-27 10:33:28
Eggs,8.52,31,264.06,2024-11-27 10:33:28
Milk,16.18,21,339.79,2024-11-27 10:33:28
Rice,28.27,72,2035.77,2024-11-27 10:33:28
Vegetables,26.18,9,235.61,2024-11-27 10:33:28
Milk,23.6,12,283.24,2024-11-27 10:33:28
Eggs,9.15,100,914.6,2024-11-27 10:33:28
Milk,16.0,67,1071.87,2024-11-27 10:33:28
Fruits,49.26,23,1132.99,2024-11-27 10:33:28
Milk,22.93,17,389.77,2024-11-27 10:33:28
Eggs,7.92,31,245.59,2024-11-27 10:33:28
Rice,38.44,37,1422.14,2024-11-27 10:33:28
